City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Ptolemais,GR,40.5147,21.6786,61.84,75,95,0.98,overcast clouds
241,Batagay-Alyta,RU,67.8006,130.4114,21.11,74,7,4.34,clear sky
242,Aksay,RU,47.26,39.87,57.25,28,0,15.01,clear sky
243,Savinskiy,RU,62.9342,40.1361,44.28,91,100,3.13,overcast clouds
244,Jibuti,DJ,11.5,42.5,85.42,39,100,10.71,overcast clouds
245,Norman Wells,CA,65.282,-126.8329,32.04,93,75,3.44,broken clouds
246,Aykhal,RU,66.0,111.5,27.72,57,61,2.28,broken clouds
247,Santarem,BR,-2.4431,-54.7083,86.13,74,20,13.8,light rain
248,Kishtwar,IN,33.3167,75.7667,63.05,92,6,0.63,clear sky
249,Calama,CL,-22.4667,-68.9333,70.29,10,0,8.05,clear sky
250,Solnechnyy,RU,50.7214,136.6319,39.34,66,0,5.08,clear sky
251,Moroni,KM,-11.7022,43.2551,77.0,73,40,13.8,scattered clouds
252,Isabela,PH,6.7085,121.9711,78.85,91,87,0.45,overcast clouds
253,Port Blair,IN,11.6667,92.75,81.16,81,29,11.92,scattered clouds
254,Berlevag,NO,70.8578,29.0864,48.2,69,45,16.98,scattered clouds
255,Namestovo,SK,49.4079,19.4803,57.02,75,100,3.67,overcast clouds
256,Le Portel,FR,50.7056,1.5757,64.09,96,100,13.98,overcast clouds
257,Shimoda,JP,34.6667,138.95,66.11,85,22,7.14,few clouds
258,Kamenka,RU,51.3223,42.7678,50.27,64,99,4.65,overcast clouds
259,Nizwa,OM,22.9333,57.5333,92.21,29,89,2.8,overcast clouds
260,Chamalieres,FR,45.7756,3.0631,68.72,40,0,4.61,clear sky
261,Ternate,ID,0.8,127.4,81.34,80,100,4.54,overcast clouds
262,Tateyama,JP,34.9833,139.8667,68.09,79,35,9.44,scattered clouds
263,Ostrovnoy,RU,68.0531,39.5131,44.24,83,100,4.47,overcast clouds
264,Imbituba,BR,-28.24,-48.6703,71.49,67,100,9.31,moderate rain
265,Labytnangi,RU,66.6572,66.4183,32.27,81,98,5.06,overcast clouds
266,White Center,US,47.5173,-122.3549,53.78,92,40,0.0,mist
267,Bandarbeyla,SO,9.4942,50.8122,79.36,80,81,22.41,broken clouds
268,The Valley,AI,18.217,-63.0578,89.46,74,75,12.66,broken clouds
269,Lindi,TZ,-10.0,39.7167,75.69,79,24,7.56,few clouds
270,Shelburne,CA,44.0787,-80.2041,59.56,76,78,4.32,broken clouds
271,Vila,PT,42.0304,-8.1588,64.33,75,97,5.95,overcast clouds
272,Palmares Do Sul,BR,-30.2578,-50.5097,71.91,81,100,11.03,overcast clouds
273,Guerrero Negro,MX,27.9769,-114.0611,72.16,72,0,3.24,clear sky
274,Ibanda,TZ,-2.7974,32.4746,80.04,47,96,6.58,overcast clouds
275,Husavik,IS,66.0449,-17.3389,46.31,99,100,13.27,overcast clouds
276,Sechura,PE,-5.5569,-80.8222,76.48,54,0,8.23,clear sky
277,Dunedin,NZ,-45.8742,170.5036,47.8,79,100,5.32,overcast clouds
278,Amahai,ID,-3.3333,128.9167,77.67,86,100,1.25,overcast clouds
279,Swan Hill,AU,-35.3378,143.5544,54.39,97,97,11.92,overcast clouds
280,Champerico,GT,14.3,-91.9167,88.36,71,5,3.0,clear sky
281,Cotonou,BJ,6.3654,2.4183,82.38,83,40,5.75,light rain
282,Yarkovo,RU,57.4028,67.0786,34.38,80,95,8.57,overcast clouds
283,Olds,CA,51.7834,-114.102,56.07,81,18,6.91,few clouds
284,Kalmunai,LK,7.4167,81.8167,76.17,89,100,3.76,overcast clouds
285,Alyangula,AU,-13.8483,136.4192,78.67,83,47,4.61,scattered clouds
286,Sonoita,MX,31.85,-112.8333,80.53,36,0,1.74,clear sky
287,Mpulungu,ZM,-8.7623,31.1141,80.69,47,60,4.43,broken clouds
288,Alofi,NU,-19.0595,-169.9187,73.29,83,75,10.36,broken clouds
289,Pisco,PE,-13.7,-76.2167,67.01,72,20,9.22,few clouds
290,Chimoio,MZ,-19.1164,33.4833,78.66,47,20,10.0,few clouds
291,Pitimbu,BR,-7.4706,-34.8086,86.59,70,8,12.64,clear sky
292,Pontianak,ID,-0.0333,109.3333,73.38,100,90,3.44,overcast clouds
293,Sioux Lookout,CA,50.1001,-91.917,64.78,100,90,2.3,mist
294,Concarneau,FR,47.875,-3.9225,65.05,71,23,11.97,few clouds
295,Svetlogorsk,BY,52.6333,29.7333,47.53,67,29,6.49,scattered clouds
296,Narsaq,GL,60.9167,-46.05,41.22,33,2,2.64,clear sky
297,Olafsvik,IS,64.8945,-23.7142,44.64,89,100,29.21,overcast clouds
298,Kjollefjord,NO,70.9457,27.3465,48.25,61,75,18.41,broken clouds
299,Praia Da Vitoria,PT,38.7333,-27.0667,79.05,73,40,4.25,scattered clouds
300,Mpongwe,ZM,-13.5091,28.155,84.33,18,71,3.47,broken clouds
301,Wamba,NG,8.9333,8.6,82.45,78,99,3.8,light rain
302,Samarai,PG,-10.6167,150.6667,79.93,86,66,7.05,broken clouds
303,Yar-Sale,RU,66.8333,70.8333,33.58,92,100,18.5,overcast clouds
304,Tierranueva,MX,21.6833,-100.5667,69.15,65,53,4.5,broken clouds
305,Geraldton,AU,-28.7667,114.6,61.21,67,75,17.27,broken clouds
306,Yenagoa,NG,4.9247,6.2642,80.94,82,97,6.78,light rain
307,Moose Factory,CA,51.2585,-80.6094,48.2,87,90,2.3,light rain
308,Tazovskiy,RU,67.4667,78.7,31.05,89,100,18.39,overcast clouds
309,Gubkinskiy,RU,64.434,76.5026,31.17,96,100,19.77,light snow
310,Avallon,FR,47.4833,3.9,61.68,57,100,5.99,overcast clouds
311,Melfi,IT,40.9965,15.6514,73.69,52,1,8.84,clear sky
312,Andenes,NO,69.3143,16.1194,49.98,66,0,11.5,clear sky
313,Konstantinovo,BY,54.6628,29.2699,46.04,74,22,6.82,few clouds
314,Mendeleyevo,RU,56.0333,37.2167,42.62,81,90,4.47,overcast clouds
315,Hithadhoo,MV,-0.6,73.0833,82.98,69,22,7.54,few clouds
316,Lingao,CN,19.9103,109.6859,78.94,76,2,7.11,light rain
317,Funtua,NG,11.5233,7.3081,87.48,46,95,4.25,overcast clouds
318,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,5.75,broken clouds
319,Praya,CV,14.9215,-23.5087,88.34,51,20,13.8,few clouds
320,Skvyra,UA,49.7318,29.6657,51.24,46,10,6.93,clear sky
321,Kota,IN,25.1833,75.8333,81.81,78,79,2.26,broken clouds
322,Te Anau,NZ,-45.4167,167.7167,42.17,90,100,1.39,overcast clouds
323,Changping,CN,40.2186,116.2197,65.52,67,36,1.99,scattered clouds
324,Tiksi,RU,71.6872,128.8694,28.22,81,54,6.15,broken clouds
325,Camacha,PT,33.0833,-16.3333,74.16,64,20,14.97,few clouds
